Homogeneity,Mean,Energy,Correlation,Contrast,Output
0.948739168,29.63402812,0.500959446,0.915261613,0.461565564,1
0.930203464,32.70557658,0.389939781,0.831536734,0.861106005,1
0.943818204,33.2480011,0.475156272,0.908839057,0.572594975,1
0.945427426,22.05817668,0.574492782,0.77176791,0.936534926,1
0.917530072,31.2619578,0.346528616,0.83995705,0.531219363,1
0.87975906,64.37383525,0.27782766,0.878961078,1.338250613,1
0.967707276,110.5996399,0.288528276,0.977677296,0.411121324,1
0.967968859,18.21648661,0.702184442,0.895574437,0.384757966,1
0.96191864,109.0457865,0.269998563,0.965525255,0.642493873,1
0.921894549,57.19688416,0.355537546,0.925211508,0.872395833,1
0.926383345,41.88468424,0.484526642,0.902083576,0.946384804,1
0.937966543,63.34977722,0.312316082,0.909680513,0.935340074,1
0.953062686,31.40256755,0.424465692,0.860132412,0.677359069,1
0.961422626,28.61470032,0.41777101,0.88799851,0.40703125,1
0.95270361,37.28354899,0.419543467,0.903809821,0.59486826,1
0.977455995,64.83121236,0.238782472,0.96728431,0.259359681,1
0.964081831,67.96728516,0.291809641,0.966954497,0.423207721,1
0.958044103,53.88260396,0.346921074,0.952737981,0.443045343,1
0.967517416,16.11654154,0.500940414,0.785630122,0.250582108,1
0.956599265,23.17629496,0.440956265,0.83891753,0.370848652,1
0.963818934,57.24652608,0.338478109,0.954591294,0.430422794,1
0.956282516,24.11665344,0.570135059,0.91419402,0.444485294,1
0.967639381,16.93308512,0.592093474,0.867028224,0.236167279,1
0.96175112,39.18207296,0.335823511,0.906992445,0.532245711,1
0.961526921,54.94819641,0.483158461,0.975559065,0.289246324,1
0.963051033,53.17182414,0.508359708,0.976405693,0.275520833,1
0.945428557,13.69377645,0.663565108,0.71198706,0.407781863,1
0.983613664,27.14496867,0.461142618,0.965483492,0.076072304,1
0.973095183,18.32948812,0.564455472,0.915365521,0.188985907,1
0.931436213,42.0025177,0.454970803,0.875460304,1.219454657,1
0.961173006,80.36916606,0.248349484,0.956619585,0.533792892,1
0.959322607,87.78333537,0.238735391,0.957177567,0.544699755,1
0.96193363,81.47586568,0.272849935,0.953075008,0.648590686,1
0.96147223,48.50098165,0.467080195,0.938273467,0.762040441,1
0.955625237,21.86075338,0.559345305,0.85605813,0.57567402,1
0.911853207,58.31204732,0.294833756,0.876631507,1.238740809,1
0.96835498,27.33988953,0.486910564,0.923205622,0.368918505,1
0.940036929,28.17412313,0.546535128,0.928240099,0.393995098,1
0.896480418,34.14871724,0.382667929,0.826581854,0.902022059,1
0.958901399,42.31378174,0.435835515,0.961565939,0.302328431,1
0.950037585,17.11475118,0.743208874,0.825774516,0.731954657,1
